tax:product_type,sku,post_title,post_status,visibility,tax_status,tax_class,stock_status,backorders,weight,length,width,height,regular_price,tax:product_cat,tax:product_shipping_class,parent_sku,upsell_skus,crosssell_skus,menu_order,Attribute 1 Name,Attribute 1 Value(s),Attribute 1 Data,Attribute 1 Global,Attribute 2 Name,Attribute 2 Value(s),Attribute 2 Data,Attribute 2 Global,Attribute 3 Name,Attribute 3 Value(s),Attribute 3 Data,Attribute 3 Global,Attribute 4 Name,Attribute 4 Value(s),Attribute 4 Data,Attribute 4 Global,Attribute 5 Name,Attribute 5 Value(s),Attribute 5 Data,Attribute 5 Global
variation,TT-16-ORORIC-360ML,,publish,hidden,taxable,,outofstock,,0.90,,,,2510.00,,,TT-16-ORORIC,,,,F_ClaveProdServ,60121213,0|0|0,0,F_Unidad,Pieza,0|0|0,0,F_ClaveUnidad,H87,0|0|0,0,Presentación,360 ml,0|1|1,0,,,,
variable,TT-16-ORORIC,Oro Rico,publish,visible,taxable,,,,,,,,,Óleos Profesionales > Metálicos,,,,,,,,,,,,,,,,,,,,,,,,,
variation,TT-16-OROVIE-1KG,,publish,hidden,taxable,,outofstock,,1.00,,,,13095.00,,,TT-16-OROVIE,,,,F_ClaveProdServ,60121213,0|0|0,0,F_Unidad,Pieza,0|0|0,0,F_ClaveUnidad,H87,0|0|0,0,Presentación,1 Kg,0|1|1,0,,,,
variation,TT-16-OROVIE-110ML,,publish,hidden,taxable,,outofstock,,0.27,,,,850.00,,,TT-16-OROVIE,,,,F_ClaveProdServ,60121213,0|0|0,0,F_Unidad,Pieza,0|0|0,0,F_ClaveUnidad,H87,0|0|0,0,Presentación,110 ml,0|1|1,0,,,,
variation,TT-16-OROVIE-25ML,,publish,hidden,taxable,,instock,,0.06,,,,255.00,,,TT-16-OROVIE,,,,F_ClaveProdServ,60121213,0|0|0,0,F_Unidad,Pieza,0|0|0,0,F_ClaveUnidad,H87,0|0|0,0,Presentación,25 ml,0|1|1,0,,,,
variation,TT-16-OROVIE-360ML,,publish,hidden,taxable,,outofstock,,0.90,,,,2490.00,,,TT-16-OROVIE,,,,F_ClaveProdServ,60121213,0|0|0,0,F_Unidad,Pieza,0|0|0,0,F_ClaveUnidad,H87,0|0|0,0,Presentación,360 ml,0|1|1,0,,,,
variable,TT-16-OROVIE,Oro Viejo,publish,visible,taxable,,,,,,,,,Óleos Profesionales > Metálicos,,,,,,,,,,,,,,,,,,,,,,,,,
variation,TT-16-PLATA-1KG,,publish,hidden,taxable,,outofstock,,1.00,,,,7855.00,,,TT-16-PLATA,,,,F_ClaveProdServ,60121213,0|0|0,0,F_Unidad,Pieza,0|0|0,0,F_ClaveUnidad,H87,0|0|0,0,Presentación,1 Kg,0|1|1,0,,,,
variation,TT-16-PLATA-110ML,,publish,hidden,taxable,,outofstock,,0.27,,,,520.00,,,TT-16-PLATA,,,,F_ClaveProdServ,60121213,0|0|0,0,F_Unidad,Pieza,0|0|0,0,F_ClaveUnidad,H87,0|0|0,0,Presentación,110 ml,0|1|1,0,,,,
variation,TT-16-PLATA-25ML,,publish,hidden,taxable,,instock,,0.06,,,,175.00,,,TT-16-PLATA,,,,F_ClaveProdServ,60121213,0|0|0,0,F_Unidad,Pieza,0|0|0,0,F_ClaveUnidad,H87,0|0|0,0,Presentación,25 ml,0|1|1,0,,,,
